Title,Category,Img,Country,URL,Domain
ACHNews,left,left8.png,USA,https://achnews.org/,achnews.org
Act.TV,left,left4.png,USA,http://act.tv,act.tv
Aftonbladet,left,left9.png,Sweden,https://www.aftonbladet.se,aftonbladet.se
Al DIA,left,left4.png,USA,https://aldianews.com,aldianews.com
Alliance for Justice (AFJ),left,left8.png,USA,https://www.afj.org/,afj.org
Alt News,left,left10.png,India,https://www.altnews.in,altnews.in
AlterNet,left,left2.png,USA,https://www.alternet.org/,alternet.org
Amandla,left,left7.png,South Africa,http://aidc.org.za/amandla-media/,aidc.org.za
AmericaBlog,left,left7.png,USA,http://americablog.com/,americablog.com
American Bridge 21st Century,left,left5.png,USA,https://americanbridgepac.org/,americanbridgepac.org
ANX Media (American News X),left,left3.png,USA,http://anx.media/,anx.media
American Oversight,left,left7.png,USA,https://www.americanoversight.org,americanoversight.org
Americans United for Separation of Church and State,left,left12.png,NA,https://www.au.org/,au.org
Angry White Men,left,left9.png,USA,https://angrywhitemen.org,angrywhitemen.org
AntiFascist News,left,left12.png,USA,https://antifascistnews.net/,antifascistnews.net
Attack The System,left,left2.png,USA,https://attackthesystem.com/,attackthesystem.com
AutoStraddle,left,left7.png,NA,https://www.autostraddle.com/,autostraddle.com
Baltimore City Paper,left,left9.png,USA,https://www.baltimoresun.com/citypaper/,baltimoresun.com
Bay Area Reporter,left,left12.png,USA,https://www.ebar.com/,ebar.com
Being Liberal,left,left3.png,USA,https://www.facebook.com/pg/beingliberal.org,facebook.com
BillMoyers.com,left,left8.png,USA,https://billmoyers.com/,billmoyers.com
Bitch Media,left,left8.png,NA,https://bitchmedia.org/,bitchmedia.org
Black Agenda Report,left,left1.png,USA,https://blackagendareport.com/,blackagendareport.com
Black America Web,left,left8.png,USA,https://blackamericaweb.com/,blackamericaweb.com
Black Lives Matter,left,left9.png,USA,https://blacklivesmatter.com,blacklivesmatter.com
Blue State Daily,left,left2.png,USA,https://bluestatedaily.com,bluestatedaily.com
Boing Boing,left,left7.png,USA,https://boingboing.net,boingboing.net
Boston Review,left,left11.png,USA,http://bostonreview.net,bostonreview.net
Bust Magazine,left,left7.png,USA,https://bust.com,bust.com
Canada Fact Check,left,left5.png,Canada,https://canadafactcheck.ca,canadafactcheck.ca
Canadian Dimension,left,left3.png,Canada,https://canadiandimension.com/,canadiandimension.com
Capital & Main,left,left10.png,USA,https://capitalandmain.com,capitalandmain.com
Care2,left,left3.png,USA,https://www.care2.com,care2.com
Ceasefire Magazine,left,left7.png,United Kingdom,https://ceasefiremagazine.co.uk/,ceasefiremagazine.co.uk
Center for American Progress,left,left7.png,USA,https://www.americanprogress.org/,americanprogress.org
Center for Media and Democracy (PR Watch),left,left8.png,USA,https://www.prwatch.org/,prwatch.org
Center for a Stateless Society,left,left1.png,USA,https://c4ss.org/,c4ss.org
Change.org,left,left8.png,USA,https://www.change.org/,change.org
Chicago Reader,left,left8.png,USA,https://www.chicagoreader.com/,chicagoreader.com
The Chicago Reporter,left,left8.png,USA,https://www.chicagoreporter.com/,chicagoreporter.com
China Internet Information Center,left,left8.png,China,http://www.china.org.cn/,china.org.cn
Citizen Critics,left,left12.png,USA,https://citizencritics.org,citizencritics.org
CNN,left,left10.png,USA,https://www.cnn.com/,cnn.com
Code Pink,left,left1.png,USA,https://www.codepink.org,codepink.org
Columbus Free Press,left,left4.png,USA,https://columbusfreepress.com,columbusfreepress.com
Comic Sands,left,left3.png,USA,https://www.comicsands.com,comicsands.com
Common Dreams,left,left6.png,USA,https://www.commondreams.org/,commondreams.org
Commune Magazine,left,left2.png,USA,https://communemag.com/,communemag.com
Cop Block,left,left5.png,USA,http://www.copblock.org/,copblock.org
Cosmopolitan,left,left3.png,USA,https://www.cosmopolitan.com/,cosmopolitan.com
CounterCurrents.org,left,left8.png,NA,https://www.countercurrents.org/,countercurrents.org
CounterPunch,left,left3.png,USA,https://www.counterpunch.org,counterpunch.org
Crikey,left,left8.png,Australia,https://www.crikey.com.au/,crikey.com.au
CrimethInc,left,left8.png,NA,https://crimethinc.com/,crimethinc.com
Crooked Media,left,left7.png,USA,https://crooked.com/,crooked.com
Crooks and Liars,left,left3.png,USA,https://crooksandliars.com,crooksandliars.com
Current Affairs Magazine,left,left9.png,USA,https://www.currentaffairs.org/,currentaffairs.org
Curve Magazine,left,left12.png,NA,http://www.curvemag.com,curvemag.com
Daily Beast,left,left7.png,USA,https://www.thedailybeast.com/,thedailybeast.com
Daily Dot,left,left10.png,USA,http://www.dailydot.com/,dailydot.com
Daily Kos,left,left2.png,USA,https://www.dailykos.com/,dailykos.com
Daily News Bin,left,,NA,http://www.dailynewsbin.com/,dailynewsbin.com
Daily Record (Scotland),left,left8.png,NA,http://www.dailyrecord.co.uk/,dailyrecord.co.uk
Daily Sound and Fury,left,left1.png,USA,https://dailysoundandfury.com,dailysoundandfury.com
Dallas Voice,left,left8.png,USA,https://dallasvoice.com/,dallasvoice.com
DeadState,left,left6.png,USA,https://deadstate.org/,deadstate.org
Deadspin,left,left8.png,USA,https://deadspin.com/,deadspin.com
Deep South Voice,left,left6.png,USA,https://deepsouthvoice.com/,deepsouthvoice.com
Democracy Chronicles,left,left6.png,NA,https://democracychronicles.org,democracychronicles.org
Democracy Guardian,left,left2.png,USA,https://democracyguardian.com,democracyguardian.com
Democracy Journal,left,left6.png,USA,https://democracyjournal.org/,democracyjournal.org
Democracy Now,left,left8.png,USA,https://www.democracynow.org/,democracynow.org
Democratic Underground,left,left3.png,USA,https://www.democraticunderground.com/,democraticunderground.com
Deshabhimani,left,left3.png,India,https://www.deshabhimani.com/,deshabhimani.com
DeSmog,left,left12.png,NA,https://www.desmogblog.com/,desmogblog.com
Detroit Metro Times,left,left7.png,USA,https://www.metrotimes.com,metrotimes.com
Dissent Magazine,left,left5.png,USA,https://www.dissentmagazine.org/,dissentmagazine.org
Drudge Retort,left,left7.png,USA,https://drudge.com/,drudge.com
Earth First Journal,left,left4.png,USA,http://earthfirstjournal.org/,earthfirstjournal.org
Ecowatch,left,left8.png,USA,https://www.ecowatch.com,ecowatch.com
EgbertoWillies,left,left2.png,NA,NA,NA
ElectoralVote.com,left,left11.png,Netherlands,https://www.electoral-vote.com,electoral-vote.com
Electronic Intifada,left,left5.png,USA,https://electronicintifada.net/,electronicintifada.net
Elite Daily,left,left12.png,USA,https://elitedaily.com/,elitedaily.com
ELLE Magazine,left,left8.png,USA,NA,NA
Esquire Magazine,left,left6.png,USA,https://www.esquire.com,esquire.com
Everyday Feminism,left,left9.png,USA,https://everydayfeminism.com/,everydayfeminism.com
Evonomics,left,left7.png,USA,https://evonomics.com/,evonomics.com
ExtraNewsFeed,left,left5.png,USA,https://extranewsfeed.com,extranewsfeed.com
Feminist Current,left,left11.png,Canada,http://www.feministcurrent.com,feministcurrent.com
Feministing,left,left5.png,USA,http://feministing.com/,feministing.com
The Fifth Column,left,left7.png,USA,https://thefifthcolumnnews.com/,thefifthcolumnnews.com
Fifth Estate,left,left8.png,NA,https://www.fifthestate.org/,fifthestate.org
Finnish News,left,left5.png,Finland,https://www.finnishnews.fi/,finnishnews.fi
Food and Water Watch,left,left4.png,USA,https://www.foodandwaterwatch.org,foodandwaterwatch.org
Foreign Policy Journal,left,left4.png,USA,https://www.foreignpolicyjournal.com,foreignpolicyjournal.com
Foreign Policy News,left,left7.png,USA,http://foreignpolicynews.org,foreignpolicynews.org
FreePress.org,left,left3.png,NA,http://freepress.org/,freepress.org
Free Rein News,left,left2.png,NA,http://frnewsreport.com,frnewsreport.com
Freedom From Religion Foundation (FFRF),left,left10.png,USA,https://ffrf.org/,ffrf.org
Freedom News and Journal,left,left3.png,NA,https://freedomnews.org.uk/,freedomnews.org.uk
Front Page Live,left,left4.png,USA,https://www.frontpagelive.com,frontpagelive.com
FStv (freespeech.org),left,left7.png,USA,https://www.freespeech.org/,freespeech.org
Geopolitics Alert,left,left9.png,USA,https://geopoliticsalert.com/,geopoliticsalert.com
Gizmodo,left,left10.png,USA,https://gizmodo.com,gizmodo.com
Global Voices,left,left12.png,USA,https://globalvoices.org/,globalvoices.org
Good Magazine,left,left7.png,USA,https://www.good.is/,good.is
GQ Magazine,left,left11.png,USA,https://www.gq.com,gq.com
Grasping Reality With Both Hands: Bradford DeLong,left,left9.png,USA,http://www.bradford-delong.com/,bradford-delong.com
Green Left Weekly,left,left4.png,Australia,https://www.greenleft.org.au,greenleft.org.au
Grit Post,left,left9.png,USA,https://gritpost.com,gritpost.com
Guardian Liberty Voice,left,left5.png,USA,https://guardianlv.com/,guardianlv.com
Guardians of Democracy,left,left1.png,USA,https://theguardiansofdemocracy.com/,theguardiansofdemocracy.com
Haaretz,left,left11.png,Israel,https://www.haaretz.com/,haaretz.com
Hill Reporter,left,left5.png,USA,https://hillreporter.com,hillreporter.com
Huffington Post (HuffPost),left,left8.png,USA,https://www.huffpost.com/,huffpost.com
Human Rights Campaign (HRC),left,left6.png,USA,https://www.hrc.org,hrc.org
In Defence of Marxism,left,left3.png,NA,https://www.marxist.com/,marxist.com
In These Times,left,left4.png,USA,https://inthesetimes.com/,inthesetimes.com
Inequality Media,left,left12.png,USA,https://www.inequalitymedia.org/,inequalitymedia.org
Informed Comment,left,left11.png,NA,https://www.juancole.com,juancole.com
Institute for Policy Studies,left,left2.png,NA,https://ips-dc.org/,ips-dc.org
International Viewpoint,left,left1.png,NA,http://www.internationalviewpoint.org/,internationalviewpoint.org
Intrepid Report,left,left6.png,USA,http://www.intrepidreport.com/,intrepidreport.com
Iowa Starting Line,left,left8.png,USA,https://iowastartingline.com,iowastartingline.com
It’s Going Down,left,left2.png,USA,https://itsgoingdown.org/,itsgoingdown.org
Jacobin,left,left4.png,USA,https://www.jacobinmag.com/,jacobinmag.com
